Title,Date,URL
​关于核对2024-2025学年第一学期本科教学工作量的通知,2024-10-16,https://www.bkjx.sdu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1014&wbnewsid=37294
关于组织2025届毕业生普通话水平测试报名工作的通知,2024-10-12,https://www.bkjx.sdu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=37293
关于公布2025年春季美国罗切斯特大学交换项目候选人名单的通知,2024-10-10,https://www.bkjx.sdu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1018&wbnewsid=37292
关于公布2025年部分与美国合作奖学金项目候选人名单的通知,2024-10-10,https://www.bkjx.sdu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1018&wbnewsid=37291
关于做好2024届本科毕业生学籍档案归档工作的通知,2024-10-10,https://www.bkjx.sdu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1014&wbnewsid=37290
关于做好2025届本科毕业论文（设计）工作的通知,2024-10-10,https://www.bkjx.sdu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1014&wbnewsid=37288
关于召开2026年推免工作专题宣讲会的通知,2024-10-10,https://www.bkjx.sdu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1014&wbnewsid=37287
关于报名2025年春季日本、韩国友好高校交换项目（二）的通知,2024-10-10,http://www.ipo.sdu.edu.cn/wdhcontent.jsp?urltype=news.NewsContentUrl&wbtreeid=1006&wbnewsid=4573
关于“正大杯”第十五届全国大学生市场调查与分析大赛山东大学校赛通知,2024-10-08,http://www.chuangye.sdu.edu.cn/info/1002/1464.htm
关于申报2024年暑期学校优秀项目的通知,2024-10-08,https://www.bkjx.sdu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1018&wbnewsid=37283
关于继续在部分本科学科基础课聘任研究生课程助教及对已聘助教进行考核的通知,2024-09-29,https://www.ygb.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1052&wbnewsid=18223
第十六届山东省大学生科技节山东省大学生物理创新大赛理论竞赛报名通知,2024-09-27,https://frontier.qd.sdu.edu.cn/info/1340/8388.htm
关于公布2025年春季学期香港城市大学交流项目候选人名单的通知,2024-09-25,https://www.bkjx.sdu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1018&wbnewsid=37274
关于公布2025年加拿大Mitacs本科生实习合作奖学金项目推荐名单的通知,2024-09-25,https://www.bkjx.sdu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1018&wbnewsid=37272
关于开展2024年度专业数据填报及2025年春季学期教学执行计划编制工作的通知,2024-09-24,https://www.bkjx.sdu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1015&wbnewsid=37267
计算机科学与技术学院2023级计算机菁英班面试通知,2024-10-18,https://www.cs.sdu.edu.cn/info/1067/6395.htm
计算机科学与技术学院2023级计算机菁英班选拔通知,2024-09-26,https://www.cs.sdu.edu.cn/info/1067/6383.htm
计算机学院2024年优秀本科生推免遴选工作公示,2024-09-12,https://www.cs.sdu.edu.cn/info/1067/6375.htm
计算机科学与技术学院2021级推免资格范围公示,2024-09-11,https://www.cs.sdu.edu.cn/info/1067/6374.htm
学院介绍｜山东大学计算机科学与技术学院,2024-06-25,https://mp.weixin.qq.com/s/O_h3P97YTDpV7SfQtUnTKw
计算机科学与技术学院2024年度获得“创新学分”学生名单公示,2024-06-04,https://www.cs.sdu.edu.cn/info/1067/6271.htm
山东大学计算机科学与技术学院关于2024年度本科教学荣誉评审奖励推荐结果公示,2024-05-29,https://www.cs.sdu.edu.cn/info/1067/6267.htm
山东大学计算机科学与技术学院“区块链”微专业 2024年招生简章,2024-05-08,https://www.cs.sdu.edu.cn/info/1067/6237.htm
计算机学院接收转专业学生计划 （2024春季学期）,2024-04-15,https://www.cs.sdu.edu.cn/info/1067/6196.htm
计算机科学与技术学院关于第七届青岛高校教学名师评选推荐结果公示,2024-04-08,https://www.cs.sdu.edu.cn/info/1067/6194.htm
关于做好2024届本科毕业论文（设计）工作的通知,2023-10-24,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1014&wbnewsid=36707
计算机科学与技术学院2022级计算机菁英班入选名单公示,2023-10-21,https://www.cs.sdu.edu.cn/info/1067/6009.htm
计算机科学与技术学院2022级菁英班选拔面试通知,2023-10-18,https://www.cs.sdu.edu.cn/info/1067/6007.htm
关于编制2024年春季学期教学执行计划的通知,2023-10-11,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1015&wbnewsid=36699
计算机科学与技术学院2024年优秀本科生推免遴选工作组成员公示,2023-09-20,https://www.cs.sdu.edu.cn/info/1067/5976.htm
计算机科学与技术学院2022级计算机菁英班选拔通知,2023-09-20,https://www.cs.sdu.edu.cn/info/1067/5971.htm
关于举办第三届山东大学“新生杯” 创业计划竞赛的通知,2024-10-18,https://www.youth.sdu.edu.cn/tz_content.jsp?urltype=news.NewsContentUrl&wbtreeid=1004&wbnewsid=10214
关于举办山东大学第六届“畅益山大”学生提案大赛的通知,2024-10-16,https://www.youth.sdu.edu.cn/tz_content.jsp?urltype=news.NewsContentUrl&wbtreeid=1004&wbnewsid=10202
全国反走私综合治理调查研究中心关于举办第三届全国大学生反走私创作大赛的通知,2024-10-16,https://www.youth.sdu.edu.cn/tz_content.jsp?urltype=news.NewsContentUrl&wbtreeid=1004&wbnewsid=10211
关于开展“典耀中华”主题读书行动创新实践案例征集活动的通知,2024-10-16,https://www.youth.sdu.edu.cn/tz_content.jsp?urltype=news.NewsContentUrl&wbtreeid=1004&wbnewsid=10210
关于开展“青年话成长”主题沙龙“学术有研”专场活动的通知,2024-10-16,https://www.youth.sdu.edu.cn/tz_content.jsp?urltype=news.NewsContentUrl&wbtreeid=1004&wbnewsid=10209
关于举办山东大学第二届“青春心向党·奋进新征程” 党史情景剧演绎大赛的通知,2024-10-16,https://www.youth.sdu.edu.cn/tz_content.jsp?urltype=news.NewsContentUrl&wbtreeid=1004&wbnewsid=10208
关于开展山东大学学生会组织2024-2025学年秋季学期“我为同学做实事”活动立项的通知,2024-10-15,https://www.youth.sdu.edu.cn/tz_content.jsp?urltype=news.NewsContentUrl&wbtreeid=1004&wbnewsid=10207
关于开展山东大学2024—2025学年“百团争鸣”学生社团风采展暨纳新活动的预备通知,2024-10-15,https://www.youth.sdu.edu.cn/tz_content.jsp?urltype=news.NewsContentUrl&wbtreeid=1004&wbnewsid=10206
关于开展山东大学2024—2025学年“百团争鸣”风采展暨学生社团纳新活动“星耀计划”立项资助...,2024-10-15,https://www.youth.sdu.edu.cn/tz_content.jsp?urltype=news.NewsContentUrl&wbtreeid=1004&wbnewsid=10205
关于山东大学2024—2025学年学生社团换届、注册与新学生社团成立结果的公示,2024-10-15,https://www.youth.sdu.edu.cn/tz_content.jsp?urltype=news.NewsContentUrl&wbtreeid=1004&wbnewsid=10204
关于推选2024—2025年度山东省“青马工程”大学生骨干培训班学员的通知,2024-10-14,https://www.youth.sdu.edu.cn/tz_content.jsp?urltype=news.NewsContentUrl&wbtreeid=1004&wbnewsid=10193
关于山东大学第六届青年志愿服务项目大赛卫生健康专项比赛暨首届“YAO健康，善行家”——青年...,2024-10-11,https://www.youth.sdu.edu.cn/tz_content.jsp?urltype=news.NewsContentUrl&wbtreeid=1004&wbnewsid=10192
关于开展山东大学2024年度团校工作的通知,2024-10-10,https://www.youth.sdu.edu.cn/tz_content.jsp?urltype=news.NewsContentUrl&wbtreeid=1004&wbnewsid=10185
关于报送2024-2025学年基层团委委员会设置的通知,2024-10-10,https://www.youth.sdu.edu.cn/tz_content.jsp?urltype=news.NewsContentUrl&wbtreeid=1004&wbnewsid=10184
关于推荐“励志健体，勇攀高峰”徒步活动参与人选的通知,2024-10-08,https://www.youth.sdu.edu.cn/tz_content.jsp?urltype=news.NewsContentUrl&wbtreeid=1004&wbnewsid=10182
关于举办山东大学首届“SDU TALK”学生创新大讲堂的通知,2024-09-30,https://www.youth.sdu.edu.cn/tz_content.jsp?urltype=news.NewsContentUrl&wbtreeid=1004&wbnewsid=10172
关于山东大学2023-2024学年学生社团暑期活动风采交流展示结果的公示,2024-09-27,https://www.youth.sdu.edu.cn/tz_content.jsp?urltype=news.NewsContentUrl&wbtreeid=1004&wbnewsid=10164
关于开展山东大学2023-2024学年学生暑期社会实践专项活动评比答辩与交流总结的通知,2024-09-27,https://www.youth.sdu.edu.cn/tz_content.jsp?urltype=news.NewsContentUrl&wbtreeid=1004&wbnewsid=10163
关于公布参评2024年山东省普通本科高校劳动教育典型课程教学设计、教学案例和实践项目的通知,2024-09-27,https://www.youth.sdu.edu.cn/tz_content.jsp?urltype=news.NewsContentUrl&wbtreeid=1004&wbnewsid=10162
关于开展“阅中国 悦青春”庆祝新中国成立75周年读书月系列活动的通知,2024-09-25,https://www.youth.sdu.edu.cn/tz_content.jsp?urltype=news.NewsContentUrl&wbtreeid=1004&wbnewsid=10155
